QueryId,Query,Label
68656,Asked about attack of leaf spot and sucking pest on cotton ?,Plant Protection
68702,Attack of Sucking pest?,Fertilizer Use and Availability
68644,farmer  want to know information about Plant tonic of soybean crop ?,Fertilizer Use and Availability
68659,CHILLI LEAF SPOT MANAGEMENT,Plant Protection
68709,Weather information of bulandshahar ...?,Weather
68708,Information regarding control of root rot in Apple Plant?,Plant Protection
68749,Asking about Leaf spot management in Beans,Plant Protection
68747,asking about sugarcane rust management,Plant Protection
68854,termite insect in paddy crop?,Weather
68658,SPRAY FOR SOYABEAN?,Cultural Practices
68795,asking about Azolla seeds availability information,Cultural Practices
68657,Weed management in mentha nursery..?,Cultural Practices
68748,Asking about rose seedlings availability contact,Cultural Practices
53420,ORIENTAL INSURANCE COMPANY,Government Schemes
53419,variety of Bhindi,Plant Protection
68839,TELL ME INSECT CONTROL IN PADDY ?,Plant Protection
68766,WEATHER REPORT OF KULTALI BLOCK IN SOUTH 24 PARGANAS.,Weather
68696,Leaf spot & mealy bug problem in marigold crop,Plant Protection
68799,Insect Attaik in Mustard Crop,Plant Protection
53433,ASK ABOUT GENARAL INFORMATION,Weather
68642,Asking about Green gram market rate,Market Information
53393,black gram sowing season and variety,Nutrient Management
53409,MICRONUTRIENT DEFICIENCY OF MANGO.,Nutrient Management
68767,TELL ME INSECT CONTROL OF PAPAYA ?,Plant Protection
68834,Informaton regarding improved varieties of jwar crop ?,Varieties
68835,WEED CONTROL....PADDY CROP.....?,Weed Management
53421,Farmer need weather information of your neemuch district of madhya pradesh?,Weather
68836,Asking about flower drop management in chilli,Nutrient Management
68641,asked about paddy fertilizer (MN) management,Nutrient Management
68710,Asking about weather report,Weed Management
68695,Asking about watermelon foliar application information,Fertilizer Use and Availability
68806,problem of top shoot borer in the sugarcane crop...?,Plant Protection
53410,Information regarding to weather in kalayat?,Weather
68805,Aphid control of wheat crop...?,Plant Protection
53431,yellow leaf of paddy narsery ?,Fertilizer Use and Availability
53414,Asking about join director office contact number,Government Schemes
53412,Information regarding control of leaf curl in tomato?,Plant Protection
68804,askign about banana leaf blight management,Plant Protection
68794,Asking about leaf spot management for paddy,Plant Protection
53432,(Stem borer) in maize Chilo partellus,Plant Protection
68745,information regarding fertilizer dose in paddy ?,Government Schemes
68837,information about kisan panjikaran for sugarcane department  scheme,Cultural Practices
53388,Farmer wants to know how to control flower and fruit drop in pomegrante crop?,Cultural Practices
68803,termite control in neem ?,Plant Protection
68660,late blight in tomato,Plant Protection
53411,TELL ME BARMER MANDI ISUBGOL RATE,Market Information
68746,ASKING ABOUT CONTROL OF LEAF SPOT IN MARIGOLD,Plant Protection
68643,Farmer needs information regarding weather information for Nowgong block madhya pradesh state?,Weather
68750,Farmer needs information regarding weather information for Bhopal district madhya pradesh state?,Weather
68797,Weather in Fatehabad ?,Weather
68840,fruit borer control infarmetion of brinjal ?,Plant Protection
68703,asked about crop insurance ?,Weather
68846,Farmer wants to know information about How to control of fungal attack in coriander crop?,Cultural Practices
68753,Ask about weather information,Field Preparation
68704,disease control in maize crop,Plant Protection
68763,Farmer needs information regarding weather for  sehore dist. of state madhya pradesh?,Weather
68847,Asking about weather forecast Sangrampur Tahsil?,Weather
68848,Asking about tapioca basal fertilizer management,Nutrient Management
68651,About weather information dist basti ?,Weather
68645,Farmer wants to know information about increasing flower in black gram crop?,Cultural Practices
53401,Asking aoout Tenai sowing season and variety,Cultural Practices
68650,Asking about sowing season for Bajra,Field Preparation
68762,weather infarmathion....,Weather
68801,Asking about fruit fly management in snake gourd,Plant Protection
68849,Downy or blight  or Powdery on pigeon pea ?,Plant Protection
53390,Attack of Thrips and Jassids IN PAPAYA ?,Plant Protection
68649,Information regarding Weather of mahendra garh  ?,Varieties
68707,"Asking about Oil Seeds Research Station,Tindivanam contact information",Cultural Practices
68648,Farmer needs information regarding variety for pigeon pea/arhar/redgram?,Varieties
68647,Plant protection of sponge gourd....?,Plant Protection
68755,how to control SUCKING IN groundnut ?,Plant Protection
53389,aphid control of wheat crop ?,Cultural Practices
68646,INFORMATION ABOUT SUGARCANE ?,Weather
68850,asked about Krishi Vigyan Kendra  info ?,Cultural Practices
53436,TELL ME INSECT CONTROL IN JAWAR,Plant Protection
68705,TELL ME PEST CONTROL IN BER ?,Nutrient Management
68706,TELL ME CUT WORM CONTROL IN GRAM,Plant Protection
68754,Asked about flowering in soybean ?,Nutrient Management
68845,fertilizer information ?,Fertilizer Use and Availability
68761,Asked about blackgram foliar application,Nutrient Management
68844,ASKING ABOUT WHEAT SUBSIDY,Government Schemes
68697,sugarcane ki information ...?,Field Preparation
68853,termite control in mentha.?,Plant Protection
68764,weather of Mandi ?,Plant Protection
53400,ASKING ABUT CONTROL OF SHOOT BORER IN BRINJAL.,Plant Protection
68756,Information regarding to weather in HISSAR?,Weather
68698,Rust IN SUGARCANE,Plant Protection
68655,VARIETY OF FODDER SORGHUM ?,Varieties
68701,MENTHA ME KON SI KHAD PRAOG KRE...?,Fertilizer Use and Availability
68841,ASKING ABOUT SEED TREATMENT IN PADDY,Cultural Practices
53392,pradhan mantri fasal bima Insurance Scheme,Government Schemes
68757,Weather infrmation of Muzaearnagar ?,Weather
68654,"tell me control of fenugreek, cumin seed in aphid",Plant Protection
68653,asking about whitefly in brinjal,Plant Protection
68758,attack of stem fly  in soybean ?,Plant Protection
